tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1087,1/1/2016 0:16,1/1/2016 0:34,280,E 10 St & 5 Ave,40.73331967,-73.99510132,527,E 33 St & 2 Ave,40.744023,-73.976056,20945,Subscriber,1990,2
960,1/1/2016 0:16,1/1/2016 0:32,492,W 33 St & 7 Ave,40.75019995,-73.99093085,405,Washington St & Gansevoort St,40.739323,-74.008119,19039,Subscriber,1982,2
931,1/1/2016 0:16,1/1/2016 0:32,492,W 33 St & 7 Ave,40.75019995,-73.99093085,405,Washington St & Gansevoort St,40.739323,-74.008119,20258,Subscriber,1982,2
879,1/1/2016 0:16,1/1/2016 0:31,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,379,W 31 St & 7 Ave,40.749156,-73.9916,23386,Subscriber,1981,1
2595,1/1/2016 0:17,1/1/2016 1:00,485,W 37 St & 5 Ave,40.75038009,-73.98338988,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,15861,Subscriber,1988,1
300,1/1/2016 0:17,1/1/2016 0:22,340,Madison St & Clinton St,40.71269042,-73.98776323,301,E 2 St & Avenue B,40.72217444,-73.98368779,14899,Subscriber,1983,1
2606,1/1/2016 0:17,1/1/2016 1:00,307,Canal St & Rutgers St,40.71427487,-73.98990025,489,10 Ave & W 28 St,40.75066386,-74.00176802,21644,Subscriber,1988,1
657,1/1/2016 0:17,1/1/2016 0:28,505,6 Ave & W 33 St,40.74901271,-73.98848395,383,Greenwich Ave & Charles St,40.735238,-74.000271,19731,Subscriber,1973,1
1488,1/1/2016 0:17,1/1/2016 0:42,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,442,W 27 St & 7 Ave,40.746647,-73.993915,21222,Customer,,0
1485,1/1/2016 0:17,1/1/2016 0:42,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,442,W 27 St & 7 Ave,40.746647,-73.993915,18112,Customer,,0
667,1/1/2016 0:17,1/1/2016 0:28,461,E 20 St & 2 Ave,40.73587678,-73.98205027,494,W 26 St & 8 Ave,40.74734825,-73.99723551,24185,Subscriber,1958,1
675,1/1/2016 0:17,1/1/2016 0:29,545,E 23 St & 1 Ave,40.736502,-73.97809472,267,Broadway & W 36 St,40.75097711,-73.98765428,22417,Subscriber,1985,1
396,1/1/2016 0:17,1/1/2016 0:24,317,E 6 St & Avenue B,40.72453734,-73.98185424,317,E 6 St & Avenue B,40.72453734,-73.98185424,23082,Subscriber,1981,1
193,1/1/2016 0:18,1/1/2016 0:21,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,335,Washington Pl & Broadway,40.72903917,-73.99404649,21165,Subscriber,1986,1
1555,1/1/2016 0:18,1/1/2016 0:44,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,174,E 25 St & 1 Ave,40.7381765,-73.97738662,18800,Subscriber,1956,1
428,1/1/2016 0:18,1/1/2016 0:25,505,6 Ave & W 33 St,40.74901271,-73.98848395,482,W 15 St & 7 Ave,40.73935542,-73.99931783,23176,Subscriber,1994,2
778,1/1/2016 0:18,1/1/2016 0:31,3180,Brooklyn Bridge Park - Pier 2,40.69878,-73.99712,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,24277,Subscriber,1993,1
1502,1/1/2016 0:18,1/1/2016 0:43,223,W 13 St & 7 Ave,40.73781509,-73.99994661,164,E 47 St & 2 Ave,40.75323098,-73.97032517,20030,Subscriber,1965,2
110,1/1/2016 0:19,1/1/2016 0:21,3002,South End Ave & Liberty St,40.711512,-74.015756,363,West Thames St,40.70834698,-74.01713445,23677,Subscriber,1988,2
941,1/1/2016 0:19,1/1/2016 0:35,428,E 3 St & 1 Ave,40.72467721,-73.98783413,435,W 21 St & 6 Ave,40.74173969,-73.99415556,18457,Subscriber,1982,2
394,1/1/2016 0:19,1/1/2016 0:26,483,E 12 St & 3 Ave,40.73223272,-73.98889957,325,E 19 St & 3 Ave,40.73624527,-73.98473765,22856,Subscriber,1994,1
394,1/1/2016 0:19,1/1/2016 0:26,483,E 12 St & 3 Ave,40.73223272,-73.98889957,325,E 19 St & 3 Ave,40.73624527,-73.98473765,24201,Subscriber,1994,1
915,1/1/2016 0:19,1/1/2016 0:34,428,E 3 St & 1 Ave,40.72467721,-73.98783413,435,W 21 St & 6 Ave,40.74173969,-73.99415556,23757,Subscriber,1986,1
419,1/1/2016 0:19,1/1/2016 0:26,3091,Frost St & Meeker St,40.71764,-73.94882,3106,Driggs Ave & N Henry St,40.72325,-73.94308,16107,Subscriber,1993,2
377,1/1/2016 0:20,1/1/2016 0:26,445,E 10 St & Avenue A,40.72740794,-73.98142006,410,Suffolk St & Stanton St,40.72066442,-73.98517977,22270,Subscriber,1975,1
388,1/1/2016 0:20,1/1/2016 0:26,445,E 10 St & Avenue A,40.72740794,-73.98142006,410,Suffolk St & Stanton St,40.72066442,-73.98517977,21117,Subscriber,1982,2
2494,1/1/2016 0:20,1/1/2016 1:01,504,1 Ave & E 15 St,40.73221853,-73.98165557,504,1 Ave & E 15 St,40.73221853,-73.98165557,22584,Subscriber,1959,1
271,1/1/2016 0:20,1/1/2016 0:24,3112,Milton St & Franklin St,40.72906,-73.95779,3118,McGuinness Blvd & Eagle St,40.73555,-73.95284,23477,Subscriber,1987,1
928,1/1/2016 0:20,1/1/2016 0:36,442,W 27 St & 7 Ave,40.746647,-73.993915,72,W 52 St & 11 Ave,40.76727216,-73.99392888,24192,Subscriber,1989,1
1364,1/1/2016 0:20,1/1/2016 0:43,3163,Central Park West & W 68 St,40.7734066,-73.97782542,490,8 Ave & W 33 St,40.751551,-73.993934,21290,Customer,,0
1358,1/1/2016 0:20,1/1/2016 0:43,3163,Central Park West & W 68 St,40.7734066,-73.97782542,490,8 Ave & W 33 St,40.751551,-73.993934,15535,Customer,,0
467,1/1/2016 0:21,1/1/2016 0:28,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,24056,Subscriber,1974,1
1325,1/1/2016 0:21,1/1/2016 0:43,3163,Central Park West & W 68 St,40.7734066,-73.97782542,490,8 Ave & W 33 St,40.751551,-73.993934,19160,Customer,,0
868,1/1/2016 0:21,1/1/2016 0:35,279,Peck Slip & Front St,40.707873,-74.00167,428,E 3 St & 1 Ave,40.72467721,-73.98783413,23590,Subscriber,1996,2
222,1/1/2016 0:21,1/1/2016 0:24,358,Christopher St & Greenwich St,40.73291553,-74.00711384,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,17742,Subscriber,1966,1
686,1/1/2016 0:21,1/1/2016 0:32,3143,5 Ave & E 78 St,40.77682863,-73.96388769,3132,E 59 St & Madison Ave,40.76350532,-73.97109243,23514,Subscriber,1960,1
1315,1/1/2016 0:21,1/1/2016 0:43,3163,Central Park West & W 68 St,40.7734066,-73.97782542,490,8 Ave & W 33 St,40.751551,-73.993934,23538,Customer,,0
765,1/1/2016 0:21,1/1/2016 0:34,410,Suffolk St & Stanton St,40.72066442,-73.98517977,475,E 16 St & Irving Pl,40.73524276,-73.98758561,14540,Subscriber,1986,1
738,1/1/2016 0:23,1/1/2016 0:36,485,W 37 St & 5 Ave,40.75038009,-73.98338988,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,17169,Subscriber,1985,1
400,1/1/2016 0:23,1/1/2016 0:30,285,Broadway & E 14 St,40.73454567,-73.99074142,445,E 10 St & Avenue A,40.72740794,-73.98142006,19490,Subscriber,1962,1
983,1/1/2016 0:24,1/1/2016 0:40,488,W 39 St & 9 Ave,40.75645824,-73.99372222,545,E 23 St & 1 Ave,40.736502,-73.97809472,23532,Subscriber,1977,1
1899,1/1/2016 0:24,1/1/2016 0:55,479,9 Ave & W 45 St,40.76019252,-73.9912551,3141,1 Ave & E 68 St,40.76500525,-73.95818491,16810,Subscriber,1985,1
2165,1/1/2016 0:24,1/1/2016 1:00,3136,5 Ave & E 63 St,40.76650452,-73.97147595,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,22093,Subscriber,1978,1
652,1/1/2016 0:24,1/1/2016 0:35,2000,Front St & Washington St,40.70255088,-73.98940236,261,Johnson St & Gold St,40.69474881,-73.98362464,16240,Subscriber,1992,1
552,1/1/2016 0:24,1/1/2016 0:34,512,W 29 St & 9 Ave,40.7500727,-73.99839279,482,W 15 St & 7 Ave,40.73935542,-73.99931783,22831,Subscriber,1949,1
233,1/1/2016 0:25,1/1/2016 0:29,3165,Central Park West & W 72 St,40.77579377,-73.97620574,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,19997,Subscriber,1961,1
1400,1/1/2016 0:25,1/1/2016 0:48,3162,W 78 St & Broadway,40.78339981,-73.98093133,463,9 Ave & W 16 St,40.74206539,-74.00443172,23753,Subscriber,1986,1
1475,1/1/2016 0:25,1/1/2016 0:50,3143,5 Ave & E 78 St,40.77682863,-73.96388769,524,W 43 St & 6 Ave,40.75527307,-73.98316936,21254,Customer,,0
446,1/1/2016 0:26,1/1/2016 0:33,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,21071,Subscriber,1950,2
1474,1/1/2016 0:26,1/1/2016 0:50,3143,5 Ave & E 78 St,40.77682863,-73.96388769,524,W 43 St & 6 Ave,40.75527307,-73.98316936,19549,Customer,,0
1437,1/1/2016 0:26,1/1/2016 0:50,3143,5 Ave & E 78 St,40.77682863,-73.96388769,524,W 43 St & 6 Ave,40.75527307,-73.98316936,21638,Customer,,0
499,1/1/2016 0:26,1/1/2016 0:34,499,Broadway & W 60 St,40.76915505,-73.98191841,3177,W 84 St & Broadway,40.7867947,-73.977112,20795,Subscriber,1982,1
2446,1/1/2016 0:26,1/1/2016 1:07,3163,Central Park West & W 68 St,40.7734066,-73.97782542,3165,Central Park West & W 72 St,40.77579377,-73.97620574,23178,Subscriber,1950,1
2426,1/1/2016 0:26,1/1/2016 1:07,217,Old Fulton St,40.70277159,-73.99383605,263,Elizabeth St & Hester St,40.71729,-73.996375,24152,Customer,,0
950,1/1/2016 0:26,1/1/2016 0:42,3137,5 Ave & E 73 St,40.77282817,-73.96685276,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,15690,Customer,,0
